Site Class,Values of F(T) for T = 0.05 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.83,0.83,0.83,0.83,0.83,0.83
B,0.86,0.86,0.86,0.86,0.86,0.86
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.33,1.24,1.05,0.96,0.89,0.85
E,1.98,1.65,1.11,0.88,0.74,0.65

Site Class,Values of F(T) for T = 0.1 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.83,0.83,0.83,0.83,0.83,0.83
B,0.86,0.86,0.86,0.86,0.86,0.86
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.29,1.21,1.03,0.94,0.89,0.84
E,1.82,1.55,1.08,0.87,0.75,0.67

Site Class,Values of F(T) for T = 0.2 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.69,0.69,0.69,0.69,0.69,0.69
B,0.77,0.77,0.77,0.77,0.77,0.77
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.32,1.24,1.08,1.00,0.94,0.90
E,1.87,1.65,1.24,1.05,0.93,0.85

Site Class,Values of F(T) for T = 0.3 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.62,0.62,0.62,0.62,0.62,0.62
B,0.70,0.70,0.70,0.70,0.70,0.70
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.43,1.34,1.17,1.08,1.02,0.98
E,2.27,1.98,1.46,1.22,1.07,0.97

Site Class,Values of F(T) for T = 0.5 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.57,0.57,0.57,0.57,0.57,0.57
B,0.65,0.65,0.65,0.65,0.65,0.65
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.56,1.47,1.30,1.20,1.14,1.10
E,2.85,2.47,1.79,1.48,1.30,1.17

Site Class,Values of F(T) for T = 1.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.57,0.57,0.57,0.57,0.57,0.57
B,0.63,0.63,0.63,0.63,0.63,0.63
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.63,1.55,1.39,1.31,1.25,1.21
E,3.23,2.82,2.08,1.74,1.53,1.39

Site Class,Values of F(T) for T = 2.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.58,0.58,0.58,0.58,0.58,0.58
B,0.63,0.63,0.63,0.63,0.63,0.63
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.64,1.57,1.43,1.36,1.31,1.27
E,3.27,2.90,2.24,1.92,1.72,1.58

Site Class,Values of F(T) for T = 3.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.59,0.59,0.59,0.59,0.59,0.59
B,0.63,0.63,0.63,0.63,0.63,0.63
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.64,1.58,1.45,1.38,1.34,1.30
E,3.25,2.92,2.31,2.01,1.83,1.69

Site Class,Values of F(T) for T = 5.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.61,0.61,0.61,0.61,0.61,0.61
B,0.64,0.64,0.64,0.64,0.64,0.64
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.64,1.58,1.47,1.41,1.37,1.34
E,3.21,2.93,2.40,2.13,1.96,1.84

Site Class,Values of F(T) for T = 7.5 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.64,0.64,0.64,0.64,0.64,0.64
B,0.67,0.67,0.67,0.67,0.67,0.67
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.57,1.53,1.44,1.39,1.35,1.33
E,2.90,2.69,2.27,2.05,1.91,1.81

Site Class,Values of F(T) for T = 10.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.67,0.67,0.67,0.67,0.67,0.67
B,0.69,0.69,0.69,0.69,0.69,0.69
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.52,1.49,1.41,1.37,1.34,1.31
E,2.70,2.52,2.18,2.00,1.88,1.79

Site Class,Values of F(T) for T = 0.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.91,0.91,0.91,0.91,0.91,0.91
B,0.87,0.87,0.87,0.87,0.87,0.87
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.39,1.29,1.10,0.99,0.93,0.88
E,2.16,1.81,1.23,0.98,0.83,0.74

Site Class,Values of F(T) for T = -1.0 s
,PGAref=0.05g,PGAref=0.1g,PGAref=0.2g,PGAref=0.3g,PGAref=0.4g,PGAref=0.5g
A,0.62,0.62,0.62,0.62,0.62,0.62
B,0.67,0.67,0.67,0.67,0.67,0.67
C,1.00,1.00,1.00,1.00,1.00,1.00
D,1.56,1.47,1.30,1.20,1.14,1.10
E,2.85,2.47,1.79,1.48,1.30,1.17

