#,,,,,,,"generated_by='OpenQuake engine 3.7.1', start_date='2019-12-09T12:21:16', checksum=1302072005, kind='mean', investigation_time=50.0"
lon,lat,0.1~SA(0.2),0.1~SA(1.0),0.1~SA(2.0),0.02~SA(0.2),0.02~SA(1.0),0.02~SA(2.0)
-132.10000,54.02000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-132.08000,53.26000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-131.82000,53.25000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-130.32000,54.32000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-128.65000,54.07000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-127.42000,50.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.322577E-01,2.212071E-01,1.602447E-01
-125.88000,49.12000,0.000000E+00,0.000000E+00,0.000000E+00,1.287779E+00,7.995284E-01,4.868585E-01
-125.24000,50.02000,0.000000E+00,0.000000E+00,0.000000E+00,3.682561E-01,3.160057E-01,2.189533E-01
-124.80000,49.23300,0.000000E+00,0.000000E+00,0.000000E+00,7.376342E-01,5.340903E-01,3.431702E-01
-123.93000,49.17000,0.000000E+00,0.000000E+00,0.000000E+00,5.008587E-01,4.051135E-01,2.710221E-01
-123.40000,48.65000,0.000000E+00,0.000000E+00,0.000000E+00,5.761569E-01,4.455653E-01,2.968479E-01
-123.37000,48.43000,0.000000E+00,0.000000E+00,0.000000E+00,6.919932E-01,5.144401E-01,3.337455E-01
-123.15000,49.70000,0.000000E+00,0.000000E+00,0.000000E+00,2.109724E-01,2.114941E-01,1.555675E-01
-123.12000,49.25000,0.000000E+00,0.000000E+00,0.000000E+00,2.917235E-01,2.694748E-01,1.914356E-01
-122.32900,49.05200,0.000000E+00,0.000000E+00,0.000000E+00,2.176411E-01,2.171884E-01,1.593213E-01
-121.95000,49.16700,0.000000E+00,0.000000E+00,0.000000E+00,1.629762E-01,1.749538E-01,1.336499E-01
-120.32000,50.67000,0.000000E+00,0.000000E+00,0.000000E+00,3.458048E-02,5.400280E-02,5.069423E-02
-119.58000,49.50000,0.000000E+00,0.000000E+00,0.000000E+00,4.513702E-02,6.576882E-02,5.946879E-02
-119.48000,49.88000,0.000000E+00,0.000000E+00,0.000000E+00,3.595637E-02,5.538576E-02,5.204381E-02
-114.08000,51.05000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
-113.47000,53.55000,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
